ID,sentence,reference_Id
Q16_2_001,大南一統志卷之十六, 清化省斗, 東西距一百七十四里 南北距二百八十五里 东至海三十七里 西至山同接哀牢一百三十七里 南至父安瓊瑠縣界一百十五里,"[""[[1720, 0], [1799, 0], [1799, 1691], [1720, 1691]]"", ""[[1599, 0], [1720, 0], [1720, 1691], [1599, 1691]]"", ""[[1478, 0], [1599, 0], [1599, 1691], [1478, 1691]]"", ""[[1347, 0], [1478, 0], [1478, 1691], [1347, 1691]]"", ""[[1241, 0], [1347, 0], [1347, 1691], [1241, 1691]]"", ""[[1030, 0], [1132, 0], [1132, 1691], [1030, 1691]]"", ""[[851, 0], [961, 0], [961, 1691], [851, 1691]]"", ""[[738, 0], [851, 0], [851, 1691], [738, 1691]]"", ""[[635, 0], [738, 0], [738, 1691], [635, 1691]]"", ""[[1604, 0], [1687, 0], [1687, 1690], [1604, 1690]]"", ""[[863, 0], [915, 0], [915, 1690], [863, 1690]]"", ""[[631, 0], [689, 0], [689, 1690], [631, 1690]]"", ""[[464, 0], [514, 0], [514, 1690], [464, 1690]]"", ""[[342, 0], [404, 0], [404, 1690], [342, 1690]]"", ""[[1703, 0], [1754, 0], [1754, 1691], [1703, 1691]]"", ""[[1465, 0], [1528, 0], [1528, 1691], [1465, 1691]]"", ""[[1194, 0], [1250, 0], [1250, 1691], [1194, 1691]]""]"
Q16_4_002, 北至寧平奉化縣界一百七十里 东南至海四十里 西南至父安瓊瑠縣界一百六十三里 东北至正大汛 接寧平安謨縣界七十五里 西北至興化枚州山界二百十二里 自省城南進京 凡二,"[""[[913, 0], [972, 0], [972, 1691], [913, 1691]]"", ""[[802, 0], [854, 0], [854, 1691], [802, 1691]]"", ""[[516, 0], [573, 0], [573, 1691], [516, 1691]]"", ""[[459, 0], [516, 0], [516, 1691], [459, 1691]]"", ""[[228, 0], [286, 0], [286, 1691], [228, 1691]]"", ""[[1698, 0], [1756, 0], [1756, 1687], [1698, 1687]]"", ""[[1644, 0], [1698, 0], [1698, 1687], [1644, 1687]]"", ""[[1570, 0], [1644, 0], [1644, 1687], [1570, 1687]]"", ""[[1264, 0], [1347, 0], [1347, 1687], [1264, 1687]]"", ""[[1040, 0], [1121, 0], [1121, 1687], [1040, 1687]]"", ""[[872, 0], [951, 0], [951, 1687], [872, 1687]]"", ""[[518, 0], [573, 0], [573, 1687], [518, 1687]]"", ""[[402, 0], [460, 0], [460, 1687], [402, 1687]]"", ""[[169, 0], [232, 0], [232, 1687], [169, 1687]]"", ""[[1482, 0], [1593, 0], [1593, 1687], [1482, 1687]]"", ""[[1304, 0], [1367, 0], [1367, 1687], [1304, 1687]]"", ""[[1252, 0], [1304, 0], [1304, 1687], [1252, 1687]]"", ""[[691, 0], [753, 0], [753, 1687], [691, 1687]]"", ""[[405, 0], [459, 0], [459, 1687], [405, 1687]]"", ""[[286, 0], [346, 0], [346, 1687], [286, 1687]]"", ""[[1751, 0], [1807, 0], [1807, 1688], [1751, 1688]]"", ""[[1368, 0], [1481, 0], [1481, 1688], [1368, 1688]]"", ""[[1143, 0], [1232, 0], [1232, 1688], [1143, 1688]]""]"
Q16_7_003,十七站一千八十三里 分野 天文翼軫 分野 鶉尾之次 明命十八年 测极高十九度二十六分 偏西一度四十分 按 唐 地理志 安南翼軫分 及 前漢書 天文志 生·女 杨,"[""[[864, 0], [961, 0], [961, 1688], [864, 1688]]"", ""[[504, 0], [618, 0], [618, 1688], [504, 1688]]"", ""[[1708, 0], [1803, 0], [1803, 1684], [1708, 1684]]"", ""[[1529, 0], [1577, 0], [1577, 1684], [1529, 1684]]"", ""[[1365, 0], [1425, 0], [1425, 1684], [1365, 1684]]"", ""[[1199, 0], [1257, 0], [1257, 1684], [1199, 1684]]"", ""[[917, 0], [988, 0], [988, 1684], [917, 1684]]"", ""[[524, 0], [582, 0], [582, 1684], [524, 1684]]""]"
Q16_8_004,州地理志 粤地 牛 文之分野也 交趾 日南 九眞 皆粤地 班 固 刘 向 三统历 推亦以交趾 日南 九眞 皆古粤地 牛 文分 姑两存之 备考 建置 沿革 古雄王,"[""[[466, 0], [524, 0], [524, 1684], [466, 1684]]"", ""[[352, 0], [411, 0], [411, 1684], [352, 1684]]"", ""[[299, 0], [352, 0], [352, 1684], [299, 1684]]"", ""[[180, 0], [237, 0], [237, 1684], [180, 1684]]"", ""[[1759, 0], [1816, 0], [1816, 1691], [1759, 1691]]"", ""[[1424, 0], [1477, 0], [1477, 1691], [1424, 1691]]"", ""[[1312, 0], [1367, 0], [1367, 1691], [1312, 1691]]"", ""[[918, 0], [972, 0], [972, 1691], [918, 1691]]"", ""[[693, 0], [748, 0], [748, 1691], [693, 1691]]"", ""[[292, 0], [346, 0], [346, 1691], [292, 1691]]"", ""[[1756, 0], [1812, 0], [1812, 1687], [1756, 1687]]"", ""[[1586, 0], [1643, 0], [1643, 1687], [1586, 1687]]""]"
Q16_10_005,为九眞部 秦属象郡 赵为九眞郡 记市适 房市 房后司市 务局 务济 房动司人 上 前漢地理志 武帝 元鼎六年郡 统县 方一爻足凡七 胥浦 居风都 庞余发 咸驩无,"[""[[1307, 0], [1364, 0], [1364, 1687], [1307, 1687]]"", ""[[1085, 0], [1140, 0], [1140, 1687], [1085, 1687]]"", ""[[970, 0], [1029, 0], [1029, 1687], [970, 1687]]"", ""[[633, 0], [690, 0], [690, 1687], [633, 1687]]"", ""[[346, 0], [402, 0], [402, 1687], [346, 1687]]""]"
Q16_10_006,功无编 后汉地理志 元帝 元初三年省都庞馀发二县 存统县五 注胥浦 莽曰驩 成无编 恭曰九眞亭 居风 交州记 曰有山出金牛 往往夜见光耀 十里山常有风都 庞陆德,"[""[[288, 0], [346, 0], [346, 1687], [288, 1687]]"", ""[[1587, 0], [1647, 0], [1647, 1691], [1587, 1691]]"", ""[[1474, 0], [1532, 0], [1532, 1691], [1474, 1691]]"", ""[[1419, 0], [1474, 0], [1474, 1691], [1419, 1691]]"", ""[[1252, 0], [1303, 0], [1303, 1691], [1252, 1691]]"", ""[[1026, 0], [1083, 0], [1083, 1691], [1026, 1691]]"", ""[[742, 0], [804, 0], [804, 1691], [742, 1691]]"", ""[[457, 0], [515, 0], [515, 1691], [457, 1691]]"", ""[[399, 0], [457, 0], [457, 1691], [399, 1691]]"", ""[[1753, 0], [1813, 0], [1813, 1691], [1753, 1691]]"", ""[[1643, 0], [1702, 0], [1702, 1691], [1643, 1691]]"", ""[[1530, 0], [1586, 0], [1586, 1691], [1530, 1691]]"", ""[[1476, 0], [1530, 0], [1530, 1691], [1476, 1691]]""]"
Q16_12_007,明 南康记都龐嶺在九眞郡，,"[""[[1362, 0], [1421, 0], [1421, 1691], [1362, 1691]]"", ""[[1027, 0], [1081, 0], [1081, 1691], [1027, 1691]]""]"
Q16_12_008,《文獻通》之《元頭》、,"[""[[742, 0], [799, 0], [799, 1691], [742, 1691]]""]"
Q16_12_009,《元手》之《考注》，,"[""[[338, 0], [398, 0], [398, 1691], [338, 1691]]""]"
Q16_12_010,「都龎」即「永明」在江花郡，,"[""[[282, 0], [338, 0], [338, 1691], [282, 1691]]"", ""[[1757, 0], [1813, 0], [1813, 1688], [1757, 1688]]""]"
