id,sentence
q14_15_page_7-0001,ĐẠI-NAM NHẤT-THỐNG-CHÍ QUYỂN 14
q14_15_page_7-0002,TỈNH NGHỆ-AN
q14_15_page_7-0003,"Đông tây cách nhau 384 dặm, nam bắc cách nhau 142 dặm."
q14_15_page_7-0004,"Từ tỉnh-lỵ về phía đông đến bể 20 dặm, phía tây đến biên-giới nước Nam-Chương 364 dặm; phía nam đến sông Lam giáp-giới tỉnh Hà-Tĩnh hơn 9 dặm; về phía bắc đến khe Nước-Lạnh giáp tỉnh Thanh-Hóa 133 dặm; đông-nam đến sông Lam thuộc địa-giới huyện Nghi-Xuân (Hà-Tĩnh) 22 dặm; tây-nam đến địa-giới nước Ai-Lao 515 dặm; đông-bắc đến cửa Cờn (cửa bể) 127 dặm; tây-bắc đến địa giới châu Lang-Chánh (tỉnh Thanh-Hóa) 363 dặm."
q14_15_page_7-0005,Từ tỉnh-thành Nghệ-An tới Kinh-đô (Phú-Xuân) 792 dặm về phía nam.
q14_15_page_8-0001,PHÂN DÃ
q14_15_page_8-0002,(Phân định giới-hạn và Thiên-Văn).
q14_15_page_8-0003,"Về thiên-văn thì tỉnh Nghệ-An thuộc phần sao Dực sao Chẩn (có người gọi là sao Ngưu, sao Nữ đã nói rõ ở quyền Địa-Chí tỉnh Thanh-Hóa)."
q14_15_page_8-0004,"Phân-dã ở vào vị-thứ sao Thuần-Vĩ (năm Minh-Mạng thứ 18 (1837) đã trắc lượng, chỗ cao nhất là 18 độ 22 phân 30 sao, lệch về hướng tây một độ 42 phân)."
q14_15_page_9-0001,KIẾN THIẾT VÀ THAY ĐỔI
q14_15_page_9-0002,Tỉnh này thời xưa là đất Việt-Thường.
q14_15_page_9-0003,"Hồi thuộc Tần gọi là Tượng-Quận, khi thuộc Hán gọi là quận Cửu-Chân."
q14_15_page_9-0004,"Đến thời Ngô thì chia quận Cửu-Chân ra, đặt thêm quận Cửu-Đức, đến đời Tấn cũng vẫn theo thế."
q14_15_page_9-0005,"Sách «Sử-Ký» chép rằng: đời vua Tấn Vũ-Đế bình được nước Ngô rồi, thì đặt ra quận Cửu-Đức, gồm cả 8 huyện là: Cửu-Đức, Hàm-Hoan, Nam-Lăng, Dương-Toại, Phù-Linh, Khúc-Tư, Bồ-Dương và Đô-Giao."
q14_15_page_9-0006,"Đến đời vua Tề-Cao-Đế lại trích các huyện Dương-Toại, Phù-Linh và Khúc-Tư thuộc quận Cửu-Đức cải làm hai quận Việt-Thường và Tây-An."
q14_15_page_9-0007,"Đời vua Lương-Vũ-Đế niên-hiệu Phổ-Thông năm thứ 4, lại chia quận Cửu-Đức đặt là Đức-Châu."
q14_15_page_9-0008,"Đến nhà Tùy gọi là quận Nhật-Nam (vua Văn-Đế nhà Tùy mới đặt ra quận Nhật-Nam, gồm có 8 huyện là: Cửu-Đức, Hàm-Hoan, Bồ-Dương, Việt-Thường, Kim-Ninh, Văn-Cốc, An-Viễn, và Quang-An)."
q14_15_page_9-0009,Đến đời Đường gọi là Hoan-Châu và Diễn-Châu.
q14_15_page_9-0010,Hoan-Châu có quận Nhật-Nam gồm 4 huyện.
q14_15_page_9-0011,"Diễn-Châu có quận Long-Trì gồm 7 huyện (Hồi đầu nhà Đường đặt ra Hoan-Châu, đến năm đầu Trinh-Quán lại đổi là Diễn-Châu)."
q14_15_page_9-0012,Sau lại đặt ra An-Nam Đô-hộ-phủ để thống trị các quận.
q14_15_page_9-0013,"Hoan-Châu là quận Nhật-Nam gồm có 4 huyện: Cửu-Đức, Bồ-Dương, Việt-Thường và Hàm-Hoan."
q14_15_page_9-0014,"Diễn-Châu là quận Long-Trì gồm có 7 huyện: Trung-Nghĩa, Hoài-Hoan, Long-Trì, Tư-Nông, Võ-Lang, Võ-Dung và Võ-Kim."
q14_15_page_10-0001,Đến đời nhà Đinh lại chia làm đạo và nhà Lê thì đổi ra làm lộ.
q14_15_page_10-0002,"Đời vua Lý-Thái-Tổ, niên hiệu Thuận-Thiên năm đầu lại đổi làm trại."
q14_15_page_10-0003,"Đến vua Lý-Thái-Tôn niên-hiệu Thiên-Thành năm thứ 3, mới đổi Hoan-Châu làm tỉnh Nghệ-An (tên Nghệ-An mới có từ đây)."
q14_15_page_10-0004,"Đời vua Trần-Duệ-Tôn niên-hiệu Long-Khánh năm thứ 2, đổi Diễn-Châu làm Diễn-Châu lộ, đổi Hoan-Châu làm 3 lộ: Nam, Bắc và Trung, thuộc về Nghệ-An."
q14_15_page_10-0005,"Đời vua Thuận-Tôn, niên-hiệu Quang-Thái năm thứ 10, lại đổi Nghệ-An làm trấn Lâm-An và đổi Diễn-Châu làm trấn Vọng-Giang."
q14_15_page_10-0006,Đến Hồ-Hán-Thương lại đổi Diễn-Châu làm phủ Linh-Nguyên.
q14_15_page_10-0007,"Khi thuộc nhà Minh, lại đổi làm phủ Diễn-Châu và phủ Nghệ-An."
q14_15_page_10-0008,"Sách THIÊN-HẠ QUẬN-QUỐC LỢI-BỆNH THƯ chép rằng: «về đời nhà Minh niên hiệu Vĩnh-Lạc thứ 5, mới đặt ra phủ Diễn-Châu, lĩnh 4 huyện là: Thiên-Đông, Trà-Thanh, Phù-Lưu, và Quỳnh-Lâm."
q14_15_page_10-0009,Phủ Nghệ-An thì lĩnh 2 châu và 16 huyện.
q14_15_page_10-0010,"Riêng phủ Nghệ-An lĩnh 8 huyện là: Nha-Nghi, Phi-Lộc, Cổ-Đồ (trước là Gia-Đồ), Chi-La, Châu-Phúc, Thổ-Du, Kệ-Giang và Thổ-Hoàng."
q14_15_page_10-0011,"Hoan-Châu thì lĩnh 4 huyện là: Thạch-Đường, Đông-Ngạn, Lộ-Bình (trước là Thượng-Lộ) và Sa-Nam-Châu Nam-Tĩnh (trước là Nhật-Nam) thì lĩnh 4 huyện là: Hà-Hoàng, Bàn-Thạch, Hà-Hoa và Kỳ-La."
q14_15_page_10-0012,"Đến năm thứ 13 lại lấy Quỳ-Châu thuộc phủ Diễn-Châu, cùng châu Trà-Sùng, châu Ngọc-Ma (trước thuộc phủ Nghệ-An) và gồm cả huyện Hà-Hoàng, cho sáp vào châu Nam-Tĩnh."
q14_15_page_10-0013,"Huyện Sa-Nam thì sáp nhập Hoan-Châu, huyện Lộ-Bình thì sáp nhập huyện Nha-Nghi."
