id,sentence
q6_page_465-0001,ĐẠI NAM NHẤT THỐNG CHÍ
q6_page_465-0002,QUYỂN VIII
q6_page_465-0003,TỈNH QUẢNG NGÃI
q6_page_465-0004,"Đông tây cách nhau 39 dặm, nam bắc cách nhau 153 dặm, phía đông đến biển 60 dặm, phía tây đến đất Man 33 dặm, phía nam đến địa giới huyện Bồng Sơn tỉnh Bình Định 98 dặm, phía bắc đến địa giới huyện Hà Đông tỉnh Quảng Nam 55 dặm, phía đông nam đến địa giới huyện Bồng Sơn tỉnh Bình Định 103 dặm, phía tây nam đến địa giới huyện Bồng Sơn 130 dặm, phía đông bắc đến địa giới huyện Hà Đông tỉnh Quảng Nam 41 dặm, phía tây bắc đến địa giới huyện Hà Đông 59 dặm."
q6_page_465-0005,Từ tỉnh ly đi ra Bắc đến Kinh thành 583 dặm.
q6_page_465-0006,PHẦN DÃ
q6_page_465-0007,"Theo thiên văn thuộc khu vực sao Duc sao Chẩn, về tỉnh thứ sao Thuần Vĩ."
q6_page_466-0001,DỰNG ĐẶT VÀ DIÊN CÁCH
q6_page_466-0002,"Xưa là đất Việt Thường thị, đời Tần thuộc Tượng Quận; đời Hán là bờ cõi quận Nhật Nam, đời Đường thuộc Lâm Ấp, đời Tống là đất Cổ Lũy của Chiêm Thành."
q6_page_466-0003,"Nước ta nhà Nhuận Hồ lấy đất này đặt hai châu Tư và Nghĩa, thời thuộc Minh, đất này thuộc phủ Thăng Hoa, nhưng đất vẫn bị Chiêm Thành chiếm cứ."
q6_page_466-0004,"Đầu đời Lê gọi là Nam Giới, cũng là đất ki mi."
q6_page_466-0005,"Đời Hồng Đức, vua Lê Thánh Tông đi đánh Chiêm Thành, lấy lại đất này đặt làm phủ Tư Nghĩa, lãnh 3 huyện (Nghĩa Giang, Bình Sơn và Mộ Hoa) lệ vào Quảng Nam thừa tuyên."
