id,sentence
q01_page_21-0001,ĐẠI NAM NHẤT THỐNG CHÍ
q01_page_21-0002,QUYỀN NHẤT
q01_page_21-0003,KINH-SƯ
q01_page_21-0004,"Kinh-sư thống hội cả núi biển, ở giữa bắc nam, khí hậu hòa bình, núi sông tốt đẹp; đường biển có tấn Thuận-an, tấn Tư-hiền làm nơi hiểm yếu; đường bộ có ải Quảng-Bình, ải Vân-quan làm cho cách trở; sông lớn bao la ở trước, núi cao hộ vệ ở sau, ba nguồn Bồ-trạch quanh chảy 2 bên, đầm Tam-giang, đầm Thanh-lam đầm Hà-trung làm then khóa cửa ngõ."
q01_page_21-0005,"Địa thế hùng tráng như rồng lượn quanh co, hổ ngồi chĩnh chệ, thật là bụng rốn của trời đất thượng-đô của Đế vương vậy."
q01_page_21-0006,"An-Nam ta từ đời Trần dựng nước đặt làm Thuận-hóa, đời Lê đặt làm Thuận-hóa-thừa-tuyên đều xưng làm trọng trấn."
q01_page_21-0007,"Bản triều Thái-Tổ Gia-Dụ Hoàng-Đế được mạng trời quyến cố, dựng cơ nghiệp miền-nam, ban đầu đóng dinh ở xã Ái-tử, sau dời qua xã Trà-bát (thuộc huyện Đăng-xương Quảng-Trị lại dời qua phía đông xã Ái tử gọi là Cát-dinh)."
q01_page_21-0008,Hy-Tông Hiếu-Văn Hoàng-Đế lại từ Cát-dinh dời qua xã Phước-an thuộc huyện Quảng Điền.
q01_page_21-0009,Thần-Tông Hiếu-Chiêu Hoàng-Đế lấy xã Kim-long là chỗ có hình thế lại dời qua đó.
q01_page_21-0010,Anh-Tông Hiếu-nghĩa Hoàng-Đế lại dời qua Phú-Xuân.
q01_page_21-0011,"Thế-Tông Hiếu-Võ Hoàng-Đế chia đặt cảnh-nội làm 12 dinh, ở Phú-Xuân thì gọi chính-dinh, lại xưng là Đô-thành, cũng đều đất Thuận Hóa cả."
q01_page_22-0001,TỬ-CHÍ
q01_page_22-0002,"Thuận Hóa phía bắc vượt qua Linh-giang, phía nam mở đến Chiêm Thành, Chân-Lạp, liệt thánh truyền nhau hai trăm dư năm."
q01_page_22-0003,"Năm Giáp-Ngọ (1774) đời vua Duệ-Tông Hiếu-Định Hoàng-Đế, người họ Trịnh đến xâm lấn, rồi lại bị Tây-Sơn trộm chiếm trải 30 năm."
q01_page_22-0004,"Thế-Tổ Cao-Hoàng-Đế trung-hưng đánh dẹp, mùa thu năm Mậu tuất thâu phục Gia-Định, mùa hạ năm Tân-dậu (1801) khắc phục cựu-kinh năm Nhâm-tuất (1802) mùa hạ bắt được cả ngụy-đảng ở Bắc Hà gồm có cả nước An-Nam, thống nhất được dư-đồ cương vực phía nam đến Xiêm-Lạp, phía bắc giáp Thanh-Quốc, đông đến biển, tây vượt qua Ai-Lao, noi theo dấu cũ, khai thác rộng thêm định đô ở Phú-Xuân, gọi là Kinh-sư, dựng đô ở giữa nước để cho con đường đi về triều cống cho cân nhau, như nóc nhà ở trên cao mà bốn phía hướng vào, như sao Bắc thần ở một chỗ mà các sao kia chầu về, Quốc-gia chúng ta an ổn như Thái-Sơn bàn thạch ức muôn năm, là gây cơ sở tại đây, tốt đẹp lắm thay! thạnh vượng lắm thay!"
q01_page_23-0001,THÀNH-TRÌ 池
q01_page_23-0002,"Kinh-thành chu vi 2487 trượng 3 thước 6 tấc, cao 1 trượng 5 thước 6 tấc, dày 5 trượng, xây gạch, có 11 cửa, mặt tiền: cửa Thể-nhơn cửa Quảng-đức, cửa Chính-nam, cửa Đông-Nam; phía tả: cửa Chính đông, cửa Đông-bắc, cửa Trấn-bình; phía hữu: cửa Chính-tây, của Tây-nam; phía sau: cửa Chính-bắc, cửa Tây bắc; ngoài thành có hào đều rộng 5 trượng 7 thước, sâu 1 trượng, ngoài cửa thành xây đá làm cầu để đi qua lại trên hào, mặt tiền chỗ chính-trung xây kỳ-đài, ở trên thành cả 4 mặt có xây 24 cái pháo-đài, phía tiền Nam-minh, nam-hưng, nam-chính, nam-xương, nam-thắng, nam-hanh; phía-tả: Đông-thái, đông-phường, đông-gia, đông-phụ, đông vĩnh, đông-bình, phía hữu: Tây-thành, Tây-tuy, Tây-tỉnh, Tây-dực tây-an, tây-trinh; phía hậu: Bắc-định, Bắc-hòa, Bắc-thuận Bắc-trung, Bắc-điện, Bắc-thanh."
q01_page_23-0003,"Và có 455 sở pháo-xưởng canh điểm, 95 phường; sông ngự hà ở phía hậu trong thành có xây 3 cái cầu đá để đi qua: 1) từ đường dài tại cửa Đông-nam đến cửa Chính-bắc gọi là cầu Ngự-hà; 2) từ phía bắc Hoàng-thành đến phía tả cung Khánh-ninh gọi là cầu Khánh-ninh, 3) từ đường dài tại cửa Chính-nam đến cửa Tây-bắc gọi là cầu Vĩnh lợi; 2 cầu gỗ: 1) từ phía trước cửa Kinh-thương đến phía nam Tịch điền gọi là cầu Bác-tế; 2) từ đường phía hữu Hoàng-thành đến phía tả cung Bảo định gọi là Bình-kiều."
q01_page_23-0004,Phía đông phía tây thành diện có xây 2 cống thủy-quan: 1– Đông thành thủy-quan 2– Tây thành thủy-quan.
q01_page_23-0005,Đầu quách phía tây xây cầu đá gọi cầu Hoằng tế; đầu quách phía đông xây cầu gỗ gọi là cầu Hàm-tế.
q01_page_23-0006,"Phía trước thành-ngoại giáp sông Hương-giang có 2 bến đò: 1 – bến ngay cửa Chính-nam, 2-bến ngay cửa Đông-năm."
q01_page_23-0007,"Ba mặt tả, hữu và hậu có đào sông Hộ thành, đều có gác cầu qua sông, ở đầu quách đông nam gọi là cầu Gia-hội, ngoài quách cửa Chính-đông gọi là Đông-gia ngoài quách cửa Đông-bắc gọi là cầu Đông-hội, đầu quách tây-nam gọi là cầu Lợi tế, ngoài quách, cửa Chính-tây gọi cầu Cửu-lợi, ngoài quách cửa Tây-bắc gọi cầu Tịnh-tế, ngoài quách cửa Chính bắc gọi cầu Trường lợi."
q01_page_24-0001,"Góc đông bắc ngoài cửa Trấn-bình lại xây một từng thành lên trên gọi Trấn-bình-đài, chu-vi 246 trượng 7 thước, cao 6 thước 7 tấc dày 3 trượng 5 thước, trên dựng 2 trụ cờ, xây 3 pháo-môn, 1 hỏa dược, hào rộng 7 trượng 5 thước, thông với hào Kinh-thành."
q01_page_24-0002,Cẩn án Kinh-thành năm Gia-long thứ 4 (1805) đắp đất; phía tiền và hữu năm 17 (1818) xây gạch; phía tả và phía hậu năm Minh Mạng thứ 3 (1822) xây gạch.
q01_page_24-0003,"Lại xét thành cũ Phú-Xuân nguyên ở góc đông nam trong Kinh-thành ngày nay, ban đầu Hiếu-Nghĩa Hoàng-Đế dời dựng phủ mới ở đây, lấy núi trước làm án, tức là núi Ngự bình ngày nay, đắp viên tường cất cung thất, đào ao lớn ở trước lấy nước thượng-lưu con sông cho chảy vào phía hữu, lại đắp tháp ở bờ sông để trấn yểm."
q01_page_24-0004,"Đến Hiếu Võ Hoàng-Đế mới dựng đô. ấp gọi là Đô-thành, dựng điện Kim-Hoa, điện Quang-Hoa, Các Diên-Trì, các Triều-dương, điện Quang-văn, đường Tựu-Lạc, đường Chính-quan đường Trung-Hòa, đường Di-nhiên, đường Sướng-xuân, lại dựng đình Thụy-vân, hiên Đồng-Lạc, am Nội Viện, đình Giáng-hương; ở thượng lưu sông Hương-giang, lại dựng phủ Dương-xuân, điện Trường Lạc, hiên Duyệt Võ; ở hậu-uyền có giả sơn, kỳ thạch phương-chiều, khúc-trì, phi-kiều, thủy-tạ 假山, 奇石, 方沼曲池, 飛橋, 水榭, trong ngoài đều có xây tường, tạc hình rồng cọp lân phụng hoa cỏ."
q01_page_24-0005,"Các Triều-Dương ngó xuống dòng sông, qui chế cao rộng."
q01_page_24-0006,"Phía trên dưới Đô-thành có quân-trại quan xá là-liệt như sao dăng ngoài thành thị phố liên lạc, ghe câu chài, thuyền buôn bán qua lại đồng đúc như chỉ dệt, trông thành một chỗ đại đô hội."
