id,sentence
q16_17_page_14-0001,ĐẠI-NAM NHẤT-THỐNG-CHÍ
q16_17_page_14-0002,QUYỂN THỨ 16
q16_17_page_14-0003,TỈNH THANH-HÓA
q16_17_page_14-0004,TẬP THƯỢNG
q16_17_page_14-0005,TỨ CHÍ
q16_17_page_14-0006,"Từ đông sang tây rộng 174 dặm, từ nam sang bắc dài 285 dặm."
q16_17_page_14-0007,"Phía đông liền biển 37 dặm; phía tây tiếp Ai-Lao 137 dặm; phía nam giáp địa-giới huyện Quỳnh-Lưu 瓊瑞, tỉnh Nghệ-An 叉安 115 dặm; phía bắc tới địa giới huyện Phụng-Hóa 奉化, tỉnh Ninh-Bình 寧平 170 dặm; đông-nam tới biển 40 dặm; tây-nam liền địa-giới huyện Quỳnh-Lưu tỉnh Nghệ-An 163 dặm; đông-bắc liền cửa bể Chánh-Đại 正大 nối với địa phận huyện Yên-Mô 安 tỉnh Ninh-Bình 75 dặm; tây-bắc giáp rẫy núi châu Mai 枚州 tỉnh Hưng-Hóa 興化 212 dặm."
q16_17_page_14-0008,"Từ tỉnh-thành tới Kinh-đô tất cả có 27 trạm đường, dài 83 dặm."
q16_17_page_15-0001,PHÂN DÃ
q16_17_page_15-0002,VỊ TRÍ PHẦN ĐẤT
q16_17_page_15-0003,"Theo Thiên-văn, tỉnh này thuộc phân-dã (1) sao Dực và sao Chẩn 轸, đóng ở Thứ (2) Thuần-Vĩ (3) 鶉尾."
q16_17_page_15-0004,"Năm Minh-Mạng thứ 18, đo ngắm tầm cao tới 19 độ 26 phân, lệch về phía tây 1 độ 40 phân."
q16_17_page_15-0005,"Xét trong Đường Địa-Lý Chí 唐地理志 (Sách Địa-Lý đời Đường), thì An-Nam thuộc về sao Dực và sao Chẩn."
q16_17_page_15-0006,"Trong Hán-Thư Thiên-Văn-Chi 漢書天文志 (Thiên-văn chí Sách Hán) và Dương- CHÂU Địa-Lý-Chi 楊州地理志, i 楊州地理志, thì đất Việt ở vào phân dã sao Khiên-Ngưu 牽牛 và sao Vụ-Nữ 婺女, mà Giao-Chỉ, Nhật-Nam cùng Cửu-Chân đều là đất Việt cả."
q16_17_page_15-0007,"Trong sách Ban-Cố Lưu-Hướng Tam-Thống Lịch-Suy 班固劉向三統層推 cũng cho là Giao-Chỉ, Nhật-Nam và Cửu-Chân đều là đất Việt thời cổ và thuộc phân-dã sao Ngưu cùng sao Nữ."
q16_17_page_15-0008,Vậy xin ghi cả hai thuyết để góp thêm vào phần khảo-cứu.
q16_17_page_15-0009,"(1) Đời cô, Vương giả chia phong cho các nước Hầu đều ứng theo ngôi thứ các vì tinh tú trên Trời, gọi là Phân-dã."
q16_17_page_15-0010,"(2) Thứ tức là nơi đóng ở, cũng như Lữ Thứ là chỗ ở trong nơi đất (3) Thuần Vĩ là tên riêng vị thứ của vì sao đóng."
q16_17_page_16-0001,KIẾN TRÍ DUYÊN CÁCH
q16_17_page_16-0002,建置沿革
q16_17_page_16-0003,DỰNG ĐẶT ĐỔI THAY
q16_17_page_16-0004,"Thời cổ, Hùng Vương 雄王 (trước Dương-lịch 2879) đặt là Cửu-Chân bộ 九真部."
q16_17_page_16-0005,Thuộc Tần 秦 đặt là Tượng-quận 象郡.
q16_17_page_16-0006,"Vua Triệu 趙 (207 trước d l.) đổi làm quận Cửu-Chân (Theo Sử-ký 史記 vua Vũ Đế họ Triệu cướp lấy nước của vua An-Dương, sai 2 quan sử làm chủ 2 quận Giao-Chỉ 交趾 và Cửu-Chân)."
q16_17_page_16-0007,Hai đời nhà Hán 漢 vẫn đề tên quận và thống trị vào Giao-Châu 交州.
