id,sentence
q12_page_9-0001,ĐẠI-NAM
q12_page_9-0002,NHẤT-THỐNG-CHÍ
q12_page_9-0003,QUYỂN 12
q12_page_9-0004,TỈNH BÌNH-THUẬN
q12_page_9-0005,"Phụ lục: ĐẠO NINH-THUẬN Tỉnh này từ đông đến tây cách 333 dặm, từ nam đến bắc cách 55 dặm, từ phía đông tỉnh-thành (chỗ thành cũ phủ Hàm-Thuận) đến giáp đạo Ninh-Thuận 162 dặm."
q12_page_9-0006,Phía tây giáp giới tỉnh Biên-Hòa 171 dặm; nam đến biển 5 dặm; bắc đến Sơn-động 50 dặm; lại từ Sơn-động trải qua các xứ Mọi đến cực-giới phía bắc hơn 50 dặm.
q12_page_9-0007,Đông-bắc đi tới Kinh-đô Huế 1410 dặm.
q12_page_9-0008,"Lại xét: Tỉnh-thành cũ ở huyện Hòa-Đa, phía đông đến đạo Ninh-Thuận 81 dặm; tây giáp giới tỉnh Biên-Hòa 285 dặm; nam đến biển 27 dặm; bắc đến Sơn-động 28 dặm; đông-nam đến phần biển Ninh-Thuận 113 dặm lẻ; tây-nam đến phần biển tỉnh Biên-Hòa 262 dặm; đông bắc đến cực-giới động Mọi 205 dặm; tây bắc đến động Mọi giáp huyện Mọi thuộc đạo Ninh-Thuận hơn 100 dặm."
q12_page_9-0009,Tỉnh-thành mới cách tỉnh thành cũ về phía tây-nam 130 dặm.
q12_page_10-0001,PHÂN DÃ
q12_page_10-0002,"Theo thiên-văn: thuộc phần-dã (khu-vực) sao Dực, sao Chẩn; vị-thứ sao Thuần-Vĩ."
q12_page_11-0001,KIẾN TRÍ DUYÊN CÁCH
q12_page_11-0002,"(Kiến thiết; Theo cũ; Hoặc đổi mới) Đất đây nguyên xưa là nước Nhật-Nam ở Khiếu-ngoại (ngoài biên) sau là đất của Chiêm-Thành Vua Thánh-Tôn nhà Lê (1460-1497) bình định Chiêm-Thành rồi trao cho họ coi giữ khu đất biên giới phía nam, để nạp cống hiến."
