id,sentence
q13_page_7-0001,ĐẠI-NAM NHẤT-THỐNG-CHÍ
q13_page_7-0002,QUYỂN 13
q13_page_7-0003,TỈNH HÀ-TĨNH
q13_page_7-0004,Từ đông sang tây rộng 150 dặm; từ nam tới bắc dài 203 dặm.
q13_page_7-0005,"Phía đông từ tỉnh-thành đến bể 18 dặm; tây đến núi Khai-Trường giáp giới huyện Cam-Môn (tục gọi là Cam-Muôn) và huyện Cam-Cát 132 dặm; bắc đến sông An-Lạc (Tục gọi là Đò-Lạch) giáp giới huyện Nghi-Lộc (thuộc tỉnh Nghệ-An) 70 dặm; nam đến cửa ải Hoành-Sơn, giáp giới huyện Bình-Chánh thuộc tỉnh Quảng-Bình 133 dặm; Phía nam tới kinh-đô Huế 498 dặm (Núi Khai-Trường quyền Địa-dư Đông-dương dịch là Núi Giăng-Màn)."
q13_page_9-0001,KIẾN TRÍ DUYÊN CÁCH (Kiến thiết và thay đổi)
q13_page_9-0002,"Xưa thuộc đất Việt-Thường, đến đời Tần gọi là Tượng-Quận; thuộc Hán gọi là quận Cửu-Chân."
q13_page_9-0003,"Hồi thuộc Ngô chia quận Cửu-Chân đặt thêm quận Cửu-Đức, thì đất này thuộc về quận Cửu-Đức."
q13_page_9-0004,"Hồi thuộc Tùy gọi là quận Nhật-Nam, gồm có 7 huyện: Cửu-Đức, An-Viễn, An-Quang, vân vân."
q13_page_9-0005,"Hồi thuộc nhà Đường, quận Nhật-Nam thuộc Hoan-Châu."
q13_page_9-0006,"Có các huyện: Cửu-Đức, Bồ-Dương, Việt-Thường, Hoài-Hoan, tức là đất này."
q13_page_9-0007,"Đến đời nhà Đinh, nhà Lê, nhà Lý, nhà Trần, lúc thì cho thuộc về trại, hoặc thuộc lộ, thuộc trấn, đã nói rõ ở quyển Nghệ-An-Chí."
q13_page_9-0008,"Khoảng năm Vĩnh-Lạc nhà Minh, có những quận huyện thuộc về phủ Nghệ-An và châu Nam-Tĩnh (Đời nhà Minh năm Vĩnh-Lạc thứ 15, mới đặt ra phủ Nghệ-An, lĩnh các Huyện: Nha-Nghi, Phi-Lộc, Cổ-Đỗ, Chi-La."
q13_page_9-0009,"Châu Nam-Tĩnh thì lĩnh các huyện Hà-Hoàng, Bàn-Thạch, Hà-Hoa, và Kỳ-La tức là đất này)."
q13_page_9-0010,"Đầu đời nhà Lê, tỉnh này thuộc đạo Hải-Tây."
q13_page_9-0011,"Đến năm Quang-Thuận thứ 10 (1469 đời Lê-Thánh-Tôn) mới đặt ra 9 phủ Thừa-Tuyên thuộc vào phủ Đức-Quang, và phủ Hà-Hoa tỉnh Nghệ-An."
q13_page_9-0012,"Triều Nguyễn hồi đầu niên hiệu Gia-Long, tỉnh này thuộc trấn Nghệ-An."
q13_page_9-0013,"Đến năm Minh-Mạng thứ hai (1821) đổi phủ Đức-Quang làm phủ Đức-Thọ, rồi năm Minh-Mạng 12 (1831), mới phân hạt ra gọi là tỉnh Hà-Tĩnh, đặt ty Tuần-phủ và Ty Án-sát, lệ thuộc vào ty tổng-đốc An-Tĩnh quản hạt."
q13_page_9-0014,"Năm Minh-Mạng 18 (1837) lại trích huyện Kỳ-Hoa ra, đặt thêm huyện Hoa-Xuyên và đặt chức Tri huyện, do phủ Hà-Hoa thống hạt."
q13_page_9-0015,Năm Minh-Mạng 21 (1840) lấy 2 huyện Cam-Muôn và Cam-Cát ở phủ Trấn-Định cho lệ thuộc vào phủ Đức-Thọ.
