id,sentence
q07_08_page_23-0001,ĐẠI-NAM
q07_08_page_23-0002,QUYỂN THỨ BẨY
q07_08_page_23-0003,TỈNH QUẢNG-TRỊ
q07_08_page_23-0004,TỨ CHÍ
q07_08_page_23-0005,"Từ đông đến tây cách nhau 166 dặm, từ nam đến bắc cách nhau 127 dặm, đông đến biển, lại giáp giới huyện Phong-Điền 豐田 tỉnh Thừa-Thiên 承天 29 dặm, tây đến giới Cửu-Châu 九州 bảo Trấn-Lao 鎮牢堡 137 dặm, nam đến giới sách Ba-Hy 巴熙册 huyện Phong-Điền 42 dặm, bắc đến giới huyện Lệ-Thủy 麗水 tỉnh Quảng-Bình 85 dặm, từ Tỉnh-thành vào nam đến Kinh phải cách 3 trạm Trị Xá, Thừa-Mỹ, Thừa An là 89 dặm."
q07_08_page_24-0001,"PHÂN DÃ 野 (chia khu vực) Thiên văn: Phân dã sao Dực sao Chẩn, vị thứ sao Thuần-Vĩ. (chú rõ ở địa-chí Thừa-Thiên)."
q07_08_page_24-0002,KIẾN TRÍ DIÊN CÁCH 建置沿革.
q07_08_page_24-0003,"Nguyên là đất quận Nhật-Nam nhà Hán (quận Nhật-Nam có 5 thành: 西捲, 比景, 朱吾, 盧容, 象林, Tây-Quyền, Tỷ-Cảnh Châu-Ngô, Lư-Dung, Tượng-Lâm."
q07_08_page_24-0004,Huyện Tỷ-Cảnh hiện đương nay ở tỉnh Quảng-Trị.
q07_08_page_24-0005,Tỷ-Cảnh đời Hán tức Ô-Châu của Chiêm-Thành Thuận-Châu của đời Trần).
q07_08_page_24-0006,"Ô-Châu, Ma-Linh-Châu của Chiêm-Thành. (Đời Lý Chiêm-Thành dâng châu Ma-Linh 麻令, đời Trần Chiêm-Thành dâng 2 Châu Ô, Lý 烏里)."
q07_08_page_24-0007,"Triều Lý, An-Nam lấy châu Ma-Linh cải đặt làm châu Minh-Linh 明靈, Triều Trần lấy Ô-Châu đặt làm Thuận-Châu 順州, lại đặt 4 huyện: 石蘭, 花闆, 利調, 安仁 Thạch-Lan, Hoa-Lãng, Lợi-Điều, An-Nhơn thuộc vào. Đời Minh-thuộc 4 huyện ấy nhập với Thuận-Châu thuộc phủ Thuận-Hóa. Đầu đời Lê châu Minh-Linh đổi làm huyện Minh-Linh thuộc phủ Tân-Bình 新平 府, còn Thuận-Châu cải đặt 2 huyện: Võ-Xương, Hải-Lăng thuộc phủ Triệu-Phong 肇豐府, và thuộc hạt Thuận-Hóa Thừa-Tuyên (Đời Lê đặt phủ Triệu-Phong thuộc Thuận-Hóa Thừa-Tuyên, thống lãnh 6 huyện Kim-Trà 金茶, Đơn Điền 丹田, Tu-Vinh 思榮, Điện-Bàn 真盤, Hải-Lăng 海陵, Võ-Xương 武昌."
